Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,39365.4596409245,41907.4214695701,41809.4621626311,44498.9405069137,32024.1977823245,33893.2638727391,39194.672239975,40976.4907464015,42412.6395002704,43751.8056478669,38663.4005026605,38141.8671313451,40644.7911901772,43839.3244866903,43103.3362929869,..
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2532796363636.36,2706014719411.22,3093407362945.18,2921431985294.12,2412389780339.62,2481579504997.81,2659882040934.51,2704017284861.91,2783251090198.95,3065521109394.94,2932784751846.27,2693247611031.81,2662484018735.82,2857316524862.61,2830813507746.87,2707743777173.91
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,41932.8773606998,44472.5742349596,50444.9301546348,47267.0121770864,38736.9021994994,39536.7726806835,42047.6142522206,42449.1076656792,43401.3105295842,47452.1991368626,45039.2359520486,41048.3496572292,40304.7230763678,42992.8037216089,42354.4146545765,40284.6384553276
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,13036640230000,13814611414000,14451858656000,14712844084000,14448933025000,14992052727000,15542581104000,16197007349000,16784849196000,17527163695000,18238300569000,18745075687000,19542979183000,20611860934000,21433224697000,20936600000000
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,44114.7477810544,46298.7314440927,47975.9676958038,48382.5584490552,47099.9804711343,48466.6576026922,49882.5581321495,51602.9310457907,53106.5367672165,55049.9883272312,56863.3714957652,58021.4004997125,60109.6557260477,63064.4184096731,65279.5290260953,63543.577788724
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,17362857683.8545,19579457966.0538,23410572634.3147,30366213119.2928,31660911277.0294,40284481651.9021,47962439303.7247,51264390116.4909,57531233350.9101,57236013086.1223,53274304222.136,57236652490.1699,64233966861.2518,64515038268.1373,61231149880.5857,53628827440.3582
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,5226.94409982496,5887.84516224163,7026.50305539297,9091.0790391692,9451.93244869934,11992.0237658273,14236.7149957359,15171.5801734227,16973.6892364718,16831.9481943721,15613.7459681824,16715.6334746253,18690.8938401411,18703.8602924478,17688.01500769,15438.4116657291
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,14307509838.8053,17330833852.919,22311393927.8817,29549438883.8338,33689223673.2577,46679875793.5724,56516280748.3777,63628854498.5024,68997168337.6782,76658542757.4707,81847410181.7953,81779012350.8833,59159945320.5667,50392607758.2324,57726542784.9204,57707189945.4214
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,546.776850185552,654.283837283285,830.407694204322,1082.28602501699,1213.26532816388,1634.31209539718,1926.29299673401,2137.025122118,2281.41097296841,2492.33664277468,2615.025134487,2567.79920656883,1826.56691924216,1529.08286351335,1719.05721009222,1685.76494675082
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,394962552.336108,439376794.094041,516392922.513728,590748237.021657,592622502.360859,670713208.084552,770153304.153832,747839697.746593,758304466.245339,772315721.265827,730870581.672312,780889605.899977,880043553.748442,914727908.137793,930337960.037478,854793640.145606
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,1887.22657627559,2049.53280915594,2352.97325535727,2629.05312426194,2573.88901496178,2839.40634031798,3173.82202175008,2997.2934319817,2954.77451125652,2926.67995992932,2695.66618597973,2805.66532016404,3082.47508309466,3125.40499918952,3102.34678986227,2782.98434037313
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,145510008134.75,183477522123.894,230364012575.687,315953388510.678,329787628928.471,393192354510.653,316482190800.364,381286237847.667,371005379786.566,482359318767.703,..,..,..,..,..,..
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,5504.97724046148,6833.37891180263,8454.46953571021,11432.7459247258,11765.0997566078,13825.3571160818,10955.5380141821,12986.2226921492,12457.7686017666,16055.6453173826,..,..,..,..,..,..
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,57633255618.2731,66371664817.0436,77414425532.2452,99130304099.1274,106014659770.222,115931749697.241,135539438559.709,155820001920.492,171222025117.381,186204652922.262,193241108709.536,205276172134.901,223779865815.183,245213686369.157,261921244843.172,271158442059.082
